Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2007-11-27,173.68063354492188,187.4446849414132,139.45160135737984,139.45160135737984,27262365
2007-11-28,160.27877807617188,179.11380108812887,158.40432471721985,175.6727850100415,21958915
2007-11-29,160.6409912109375,165.53086073233916,152.5455658905358,163.9009042252053,25616715
2007-11-30,168.24745178222656,173.31841073892033,161.1843160674964,161.1843160674964,23047035
2007-12-03,177.4838409423828,180.07365672515198,166.9796897270408,170.19432328307732,14578850
2007-12-04,189.98019409179688,191.06682731305747,176.7594507508016,178.70634851379742,22742860
2007-12-05,196.31886291503906,199.0354523082805,190.16125752690084,190.16125752690084,13806600
2007-12-06,197.4236602783203,200.59301537158322,190.34240883764437,190.34240883764437,8619680
2007-12-07,199.21656799316406,205.31984418681503,195.2322421602164,199.21656799316406,11182820
2007-12-10,194.4263153076172,201.0276216693133,192.2530354316298,199.5153885157314,5028390
2007-12-11,189.4368133544922,197.22437441971655,188.53128364073527,195.78458549099187,3990645
2007-12-12,187.7887725830078,192.51563920002604,184.00365086954386,186.53913704920427,3637865
2007-12-13,204.8580322265625,208.27188393202874,187.82501645140954,188.35022546896514,15317195
2007-12-14,200.48431396484375,206.44270235397443,199.41579531710542,200.14927232399185,5345960
2007-12-17,189.11988830566406,211.53174896534347,184.99972529972013,206.46077698613755,7024775
2007-12-18,189.11988830566406,189.11988830566406,189.11988830566406,189.11988830566406,0
2007-12-19,193.22198486328125,202.1142817739785,189.49119207910869,197.58663203075633,4228330
2007-12-20,192.0085906982422,196.22836415674658,190.3424186792139,196.22836415674658,3116440
2007-12-24,209.50340270996094,215.87832726307798,196.54527177381118,198.31105235322434,10304460
2007-12-26,217.30902099609375,219.86262147004135,207.9096317832232,212.79948680414836,7335155
2007-12-27,219.43704223632812,224.5713946412201,218.0515827215456,220.04374555571164,4887475
2007-12-28,226.21946716308594,230.7290018157539,212.79950854509264,215.40743885858186,5820690
2007-12-31,229.7872772216797,234.53225917693575,228.3746526976353,228.80025288337822,3686245
2008-01-01,234.8672637939453,238.87875424378652,228.86361051372265,231.63452953802363,2456740
2008-01-02,236.78697204589844,239.78427339068887,230.00456287351912,237.29406650918423,3519075
2008-01-03,231.05502319335938,238.10004503297023,228.40181327972667,236.34331473566283,2525290
2008-01-04,224.63482666015625,234.4960336797145,223.30369649668071,231.59834053440036,2753975
2008-01-07,222.2622833251953,231.61640767748779,220.0437381118055,224.57138704414717,3154815
2008-01-08,218.19651794433594,227.2880331924247,214.61061301436118,224.57144315426822,2652495
2008-01-09,213.75033569335938,219.13823583578116,208.45298025057852,217.32717603548545,3137535
2008-01-10,203.11941528320312,217.2909669010286,201.02764336704223,214.61059224319374,2194030
2008-01-11,196.6539306640625,204.64976149930024,192.51566612316037,204.28755505896083,3084690
2008-01-14,187.4718780517578,196.02913393697352,186.73840094978095,196.02913393697352,4179580
2008-01-15,190.079833984375,195.3590763303438,187.63490538294295,189.3644574399264,4152465
2008-01-16,186.61158752441406,192.69674903848212,181.10596454419587,189.43683614977118,4080940
2008-01-17,184.89108276367188,190.7951414021364,183.09813748468244,190.1612732547451,1680015
2008-01-18,180.1280059814453,194.14560495927506,176.56021596603534,182.91703973045975,3384270
2008-01-21,149.4215087890625,182.01154030919832,144.10605180952632,180.20048020661923,788625
