Price,Close,High,Low,Open,Volume
Ticker,VAKRANGEE.NS,VAKRANGEE.NS,VAKRANGEE.NS,VAKRANGEE.NS,VAKRANGEE.NS
Date,,,,,
2006-04-03,2.4485106468200684,2.4485106468200684,2.4485106468200684,2.4485106468200684,1280585
2006-04-04,2.6938788890838623,2.6938788890838623,2.6938788890838623,2.6938788890838623,1280585
2006-04-05,2.829505681991577,2.829505681991577,2.829505681991577,2.829505681991577,318268
2006-04-07,2.8709170818328857,2.9713424855954216,2.829505295766936,2.9713424855954216,13623458
2006-04-10,2.923718214035034,2.9609898398514303,2.7280445096709656,2.8988706754154983,4701131
2006-04-12,3.070732355117798,3.070732355117798,2.9423536507497534,2.9796250652450897,2508411
2006-04-13,2.9640955924987793,3.21774641025606,2.91750690466297,3.1991112318163766,3957618
2006-04-17,3.0500259399414062,3.0810860536411675,3.008614150406309,3.0603797350241395,1641223
2006-04-18,3.2032523155212402,3.2032523155212402,3.106968339178786,3.146310046806514,1684709
2006-04-19,3.3637263774871826,3.3637263774871826,3.271583605203272,3.3626907011189324,2787315
2006-04-20,3.5324819087982178,3.5324819087982178,3.5324819087982178,3.5324819087982178,74694
2006-04-21,3.709519624710083,3.709519624710083,3.709519624710083,3.709519624710083,566048
2006-04-24,3.895876169204712,3.895876169204712,3.727120476208944,3.791309945429216,2774565
2006-04-25,3.8430752754211426,4.091550295147599,3.7737093288820938,4.091550295147599,10195271
2006-04-26,4.035642623901367,4.035642623901367,3.9031227049415254,3.930040535329047,2171727
2006-04-27,4.237528324127197,4.237528324127197,4.141244549623197,4.182657190090205,3232478
2006-04-28,4.449767589569092,4.449767589569092,4.03253771782074,4.356589351298365,3390110
2006-05-02,4.906338691711426,4.906338691711426,4.905302803772154,4.906338691711426,1595676
2006-05-03,5.151708126068115,5.151708126068115,4.721017754912864,5.151708126068115,5335220
2006-05-04,5.409501552581787,5.409501552581787,5.409501552581787,5.409501552581787,791678
2006-05-05,5.312180042266846,5.680751008158689,5.157919203496096,5.678680927663029,8218350
2006-05-08,5.578256130218506,5.578256130218506,5.190014680961305,5.485077911133119,5816314
2006-05-09,5.857789516448975,5.857789516448975,5.430205997671447,5.847435723171055,8659650
2006-05-10,5.572044372558594,6.150784179708091,5.564797393589486,6.150784179708091,11116377
2006-05-11,5.638306140899658,5.851579622368083,5.314253212861214,5.828802793413251,9061628
2006-05-12,5.589643955230713,5.758400026590806,5.445735632406763,5.590679419369526,3827117
2006-05-15,5.310110569000244,5.715951931060803,5.310110569000244,5.694210997177364,3364482
2006-05-16,5.0471415519714355,5.32149845026218,5.045070623581346,5.073023918353109,2622128
